,gene1,gene2,combined_score
253,ENSG00000289142,ENSG00000136630,1
254,ENSG00000186301,ENSG00000283773,1
255,ENSG00000283773,ENSG00000186301,1
256,ENSG00000252484,ENSG00000143756,1
257,ENSG00000143756,ENSG00000252484,1
258,ENSG00000223774,ENSG00000163431,1
259,ENSG00000163431,ENSG00000223774,1
260,ENSG00000122176,ENSG00000229652,1
261,ENSG00000229652,ENSG00000122176,1
262,ENSG00000143368,ENSG00000014914,1
263,ENSG00000014914,ENSG00000143368,1
264,ENSG00000143368,ENSG00000264522,1
265,ENSG00000264522,ENSG00000143368,1
266,ENSG00000014914,ENSG00000264522,1
267,ENSG00000264522,ENSG00000014914,1
268,ENSG00000231407,ENSG00000120370,1
269,ENSG00000120370,ENSG00000231407,1
270,ENSG00000067533,ENSG00000223375,1
271,ENSG00000223375,ENSG00000067533,1
272,ENSG00000067533,ENSG00000092969,1
273,ENSG00000092969,ENSG00000067533,1
274,ENSG00000067533,ENSG00000232480,1
275,ENSG00000232480,ENSG00000067533,1
276,ENSG00000223375,ENSG00000092969,1
277,ENSG00000092969,ENSG00000223375,1
278,ENSG00000223375,ENSG00000232480,1
279,ENSG00000232480,ENSG00000223375,1
280,ENSG00000092969,ENSG00000232480,1
281,ENSG00000232480,ENSG00000092969,1
282,ENSG00000117650,ENSG00000231057,1
283,ENSG00000231057,ENSG00000117650,1
284,ENSG00000162415,ENSG00000126107,1
285,ENSG00000126107,ENSG00000162415,1
286,ENSG00000162415,ENSG00000126088,1
287,ENSG00000126088,ENSG00000162415,1
288,ENSG00000126107,ENSG00000126088,1
289,ENSG00000126088,ENSG00000126107,1
290,ENSG00000237588,ENSG00000285570,1
291,ENSG00000285570,ENSG00000237588,1
292,ENSG00000233421,ENSG00000277344,1
293,ENSG00000277344,ENSG00000233421,1
294,ENSG00000233421,ENSG00000225710,1
295,ENSG00000225710,ENSG00000233421,1
296,ENSG00000277344,ENSG00000225710,1
297,ENSG00000225710,ENSG00000277344,1
298,ENSG00000185668,ENSG00000224592,1
299,ENSG00000224592,ENSG00000185668,1
300,ENSG00000162552,ENSG00000285873,1
301,ENSG00000285873,ENSG00000162552,1
302,ENSG00000221571,ENSG00000276642,1
303,ENSG00000276642,ENSG00000221571,1
304,ENSG00000221571,ENSG00000272823,1
305,ENSG00000272823,ENSG00000221571,1
306,ENSG00000221571,ENSG00000238078,1
307,ENSG00000238078,ENSG00000221571,1
308,ENSG00000221571,ENSG00000257551,1
309,ENSG00000257551,ENSG00000221571,1
310,ENSG00000276642,ENSG00000272823,1
